Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,fdr,-log10_pval,fdr_scaled,sensitive,Response_Label,Pathway_Score,Drug name_Enc,Drug target_Enc,Target Pathway_Enc,Feature Name_Enc
UNC0638,2038,"G9A, GLP",Chromatin histone methylation,SMAD4_mut,8,19,0.07125498721161344,0.6566962111826584,0.6134022902694769,0.7276082708021611,0.5296997556045542,0.3177531901873079,0.19735349839076582,0.6871300473603917,0.0,0.04404905520937891,0.0,1.0,0,0.679104534841038,213,0.4011627906976744,0.18181818181818182,4
UNC0638,2038,"G9A, GLP",Chromatin histone methylation,TP53_mut,22,5,0.1187340754918709,0.6469242886137805,0.6307601528948199,0.6242071662929793,0.45605162674646543,0.2503963277133096,0.2621818318495916,0.5687851446893377,0.0,0.06623678771552159,0.0,1.0,0,0.679104534841038,213,0.4011627906976744,0.18181818181818182,5
UNC0638,2038,"G9A, GLP",Chromatin histone methylation,cnaPAAD2,8,19,0.0972195574731572,0.6406454566999948,0.6207639671407955,0.5562088257310734,0.4643539527932836,0.2237739432620021,0.23688610285291872,0.5832135966262422,0.0,0.06329634946449399,0.0,1.0,0,0.679104534841038,213,0.4011627906976744,0.18181818181818182,6
UNC0638,2038,"G9A, GLP",Chromatin histone methylation,cnaPAAD3,3,24,0.7949455563235218,0.5684713022941736,0.6276084389832206,0.05266526988469553,0.23957953895431505,0.20191726819155134,0.18636472462333334,0.004245882609859104,0.0,0.6359396231591443,0.0,0.0,1,0.679104534841038,213,0.4011627906976744,0.18181818181818182,7
UNC0638,2038,"G9A, GLP",Chromatin histone methylation,cnaPAAD4,17,10,0.34803827583792996,0.6337447748014595,0.6464286965019768,0.02233741101914899,0.3770840569853403,0.27723728039852075,0.11254458155531971,0.045441954842624185,0.0,0.3624904852810694,0.0,0.0,1,0.679104534841038,213,0.4011627906976744,0.18181818181818182,8
AGK2,2039,"BAZ2A, BAZ2B",Chromatin histone acetylation,ARID1A_mut,3,26,0.11129887242373487,0.5526574624096643,0.5265563502632876,0.6362330016503496,0.4600481784051853,0.20258234216869403,0.22078699280759867,0.6636282246815329,0.0,0.04813423855698472,0.0,1.0,0,0.507803278480047,6,0.10465116279069767,0.13636363636363635,0
AGK2,2039,"BAZ2A, BAZ2B",Chromatin histone acetylation,CDKN2A_mut,4,25,0.055206392362110536,0.5595049372264495,0.5260011235567839,0.7567562652845237,0.4811259117388794,0.1766731830196879,0.22595689335516045,0.806785944888226,0.0,0.02520410892830581,0.0,1.0,0,0.507803278480047,6,0.10465116279069767,0.13636363636363635,1
AGK2,2039,"BAZ2A, BAZ2B",Chromatin histone acetylation,EP300_mut,3,26,0.24336142351865303,0.5374684671878879,0.5284654203209039,0.5329624129755417,0.4115119777568673,0.33473969028645306,0.20518012094051327,0.34477703455146114,0.0,0.12499103290654613,0.0,0.0,1,0.507803278480047,6,0.10465116279069767,0.13636363636363635,2
AGK2,2039,"BAZ2A, BAZ2B",Chromatin histone acetylation,RNF43_mut,4,25,0.4435119728922586,0.612931020924385,0.5166896538382273,0.22871137436560002,0.6586770296741801,0.33342647645769913,0.185095475671899,0.05734816200878898,0.0,0.3352732077333697,0.0,0.0,1,0.507803278480047,6,0.10465116279069767,0.13636363636363635,3
AGK2,2039,"BAZ2A, BAZ2B",Chromatin histone acetylation,SMAD4_mut,8,21,0.3818832658634184,0.5993664528337779,0.5109723720855667,0.04741011612243072,0.634852511038687,0.23450266985265503,0.1961157002384524,0.03526357603391692,0.0,0.3921179322335049,0.0,0.0,1,0.507803278480047,6,0.10465116279069767,0.13636363636363635,4
AGK2,2039,"BAZ2A, BAZ2B",Chromatin histone acetylation,TP53_mut,24,5,0.03471590807897557,0.5665810487066887,0.5207662432962381,0.842646360133373,0.5151664826909547,0.2606035042963489,0.159718463712063,0.8661426119302084,0.0,0.01687031053375861,0.0,1.0,0,0.507803278480047,6,0.10465116279069767,0.13636363636363635,5
AGK2,2039,"BAZ2A, BAZ2B",Chromatin histone acetylation,cnaPAAD2,10,19,0.14449201735328943,0.5534690517938706,0.5319692033402945,0.29230797240379913,0.4481371370410936,0.14706321673067976,0.25316861541327934,0.3806368609085686,0.0,0.11337898099645558,0.0,1.0,0,0.507803278480047,6,0.10465116279069767,0.13636363636363635,6
AGK2,2039,"BAZ2A, BAZ2B",Chromatin histone acetylation,cnaPAAD3,3,26,0.32956120767461194,0.5279598600206589,0.5296605353853695,0.11675735772472749,0.3811273698210618,0.14003937140090955,0.2169535063620811,0.20380504588417964,0.0,0.1866756707191588,0.0,0.0,1,0.507803278480047,6,0.10465116279069767,0.13636363636363635,7
AGK2,2039,"BAZ2A, BAZ2B",Chromatin histone acetylation,cnaPAAD4,17,12,0.23902788905540068,0.5532628393348604,0.5442362863638011,0.10464923483925544,0.41528307848656737,0.2865712519493262,0.1184120827655687,0.13815612244149858,0.0,0.23227147127150588,0.0,0.0,1,0.507803278480047,6,0.10465116279069767,0.13636363636363635,8
Foretinib,2040,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling,ARID1A_mut,3,26,0.009056761994012525,0.43220226678468965,0.3809332019645846,0.9780821459852173,0.49795296258204186,0.35156097429459415,0.25814978248874887,0.9717869560609015,0.9717926030817814,0.0033597267635674124,0.9717926030817814,1.0,0,0.294422592860817,79,0.5872093023255814,0.9090909090909092,0
Foretinib,2040,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling,CDKN2A_mut,4,25,0.07904060478468015,0.44399729911155716,0.3789391970100413,0.7496096928045266,0.536989125052974,0.30670387130515697,0.26099620720287764,0.726360877559339,0.9339629752227964,0.03753133798340898,0.9339629752227964,1.0,0,0.294422592860817,79,0.5872093023255814,0.9090909090909092,1
Foretinib,2040,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling,EP300_mut,3,26,0.04194972282288437,0.4276453803508698,0.38150594659544323,0.6705403275100198,0.483391502057984,0.05755411153751869,0.27465357540237306,0.8696371039836472,0.9717926030817814,0.01639763576354537,0.9717926030817814,1.0,0,0.294422592860817,79,0.5872093023255814,0.9090909090909092,2
Foretinib,2040,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling,RNF43_mut,4,25,0.21121318792339736,0.4611849542970266,0.3759436128263208,0.30350886973995633,0.594108928396926,0.22748825312628213,0.265485144096686,0.35302357940330187,0.7945944174846744,0.12221717437759654,0.7945944174846745,0.0,1,0.294422592860817,79,0.5872093023255814,0.9090909090909092,3
Foretinib,2040,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling,SMAD4_mut,8,21,0.23757853513406713,0.4077483449438861,0.391448173797564,0.1660830707907184,0.4002393970135757,0.25973757281924853,0.2618418768314588,0.1794975180079196,0.7945944174846744,0.2015727177958408,0.7945944174846745,0.0,1,0.294422592860817,79,0.5872093023255814,0.9090909090909092,4
